tipo;nombre;stream   
APP;DWH BI Analitica - Mamaya Help - Aranda;APP QVD DATAWAREHOUSE
APP;DWH BI Analitica - OT Help Desk Adis - ADIS OT;APP QVD DATAWAREHOUSE
APP;DWH Cartera - Ajustes & Ajustes Manuales - EBS AR;APP QVD DATAWAREHOUSE
APP;DWH Cartera - Notas de Credito - EBS AR;APP QVD DATAWAREHOUSE
APP;DWH Cartera - Saldos Contables - EBS GL;APP QVD DATAWAREHOUSE
APP;DWH Comercial - Deducciones - EBS AR;APP QVD DATAWAREHOUSE
APP;DWH Comercial - Descuentos - EBS QP;APP QVD DATAWAREHOUSE
APP;DWH Comercial - Equipos Frios - EBS Custom;APP QVD DATAWAREHOUSE
APP;DWH Comercial - Excepciones Fecha GM - Excel Distribucion;APP QVD DATAWAREHOUSE
APP;DWH Comercial - OT Servicios Comerciales - ADIS;APP QVD DATAWAREHOUSE
APP;DWH Comercial - Saldos Contables - EBS GL;APP QVD DATAWAREHOUSE
APP;DWH Comercial - Scraping Precios - Paginas Web;APP QVD DATAWAREHOUSE
APP;DWH Comunes - Maestro de Almacenes - EBS INV;APP QVD DATAWAREHOUSE
APP;DWH Comunes - Maestro de Articulos - EBS INV;APP QVD DATAWAREHOUSE
APP;DWH Comunes - Maestro de Clientes - EBS AR;APP QVD DATAWAREHOUSE
APP;DWH Comunes - Maestro de Cuentas Contables - EBS GL;APP QVD DATAWAREHOUSE
APP;DWH Comunes - Maestro de Tipo de Cambio - EBS GL (No Inc.);APP QVD DATAWAREHOUSE
APP;DWH Contabilidad - Detalle Intercompañia - EBS AP (Inc.);APP QVD DATAWAREHOUSE
APP;DWH Contabilidad - EERR por Empresa - EBS FSG - EBS-S;APP QVD DATAWAREHOUSE
APP;DWH Costos - Asientos Contables - Mtech GRAL;APP QVD DATAWAREHOUSE
APP;DWH Costos - Contabilidad SLA - EBS OPM;APP QVD DATAWAREHOUSE
APP;DWH Costos - Informe Pendientes de Cierre - EBS OPM;APP QVD DATAWAREHOUSE
APP;DWH Costos - Trans Prod Valorada - EBS OPM;APP QVD DATAWAREHOUSE
APP;DWH Costos -Liquidacion de Cerdos GIM;APP QVD DATAWAREHOUSE
APP;DWH Costos -Liquidacion de Pollos BRIM;APP QVD DATAWAREHOUSE
APP;DWH Distribucion - Canal Agrupador - Excel Comercial;APP QVD DATAWAREHOUSE
APP;DWH Distribucion - Costos SKU - Excel Comercial;APP QVD DATAWAREHOUSE
APP;DWH Distribucion - Costos SKU Supermercados - Excel Comercial;APP QVD DATAWAREHOUSE
APP;DWH Distribucion - Maestro de Subinventarios- EBS INV;APP QVD DATAWAREHOUSE
APP;DWH Distribucion - Maestro de Vehiculos - EBS AR;APP QVD DATAWAREHOUSE
APP;DWH Distribucion - Modelo Retornables - Oracle Custom;APP QVD DATAWAREHOUSE
APP;DWH Distribucion - Monnet - API Monnet;APP QVD DATAWAREHOUSE
APP;DWH Distribucion - Orden Trabajo Detalle - EBS EAM;APP QVD DATAWAREHOUSE
APP;DWH Distribucion - OT Servicios Logisticos - ADIS;APP QVD DATAWAREHOUSE
APP;DWH Distribucion - Planilla de Transporte Interdepartamental - EBS OM;APP QVD DATAWAREHOUSE
APP;DWH Distribucion - Recepciones de Aves - EBS INV;APP QVD DATAWAREHOUSE
APP;DWH Distribucion - Reporte de Tareas - EBS WMS;APP QVD DATAWAREHOUSE
APP;DWH Distribucion - Rutas RN - EBS OM;APP QVD DATAWAREHOUSE
APP;DWH Distribucion - Saldos Contables - EBS INV;APP QVD DATAWAREHOUSE
APP;DWH Distribucion - Seguimiento de OT - EBS EAM;APP QVD DATAWAREHOUSE
APP;DWH Distribucion - Solicitudes de Trabajo - EBS EAM;APP QVD DATAWAREHOUSE
APP;DWH Distribucion - Tolvas - Monnet Nuevas APIs;APP QVD DATAWAREHOUSE
APP;DWH Distribucion - Transacciones OT - EBS EAM;APP QVD DATAWAREHOUSE
APP;DWH Distribucion - Ventas Canastillos - EBS AR;APP QVD DATAWAREHOUSE
APP;DWH Experience - Canal Agrupador - Excel Comercial;APP QVD DATAWAREHOUSE
APP;DWH Experience - Reclamos CAC - Excel Comercial;APP QVD DATAWAREHOUSE
APP;DWH Experience - Saldos Contables - EBS INV;APP QVD DATAWAREHOUSE
APP;DWH Fabrica - Alimento Despachos - Mtech FMIM;APP QVD DATAWAREHOUSE
APP;DWH Fabrica - Inventarios - Mtech FMIN;APP QVD DATAWAREHOUSE
APP;DWH Fabrica - Total Feed Production - Mtech FMIN;APP QVD DATAWAREHOUSE
APP;DWH Fabrica - Varios - Mtech FMIN;APP QVD DATAWAREHOUSE
APP;DWH Finanzas - Control de Pagos Liberados - EBS AP;APP QVD DATAWAREHOUSE
APP;DWH Finanzas - Detalle Articulos por Almacen - INV EBS;APP QVD DATAWAREHOUSE
APP;DWH Frigorifico Aves -  Registro Procesamiento FAE - EBS QA;APP QVD DATAWAREHOUSE
APP;DWH Frigorifico Aves - Recepciones de Aves - EBS INV;APP QVD DATAWAREHOUSE
APP;DWH Gestion Pagos - Historico Facturas - EBS PO;APP QVD DATAWAREHOUSE
APP;DWH Granjas Pollo Parrillera - Estado Lote - QVD Mtech;APP QVD DATAWAREHOUSE
APP;DWH Granjas Pollo Parrillera - Fecha por Lote - QVD Mtech;APP QVD DATAWAREHOUSE
APP;DWH Granjas Pollo Parrillera - Ganancia Peso - Mtech BRIM;APP QVD DATAWAREHOUSE
APP;DWH Granjas Pollo Parrillera - Mortalidad - Mtech BRIM;APP QVD DATAWAREHOUSE
APP;DWH Granjas Pollo Reproductoras - Asientos Contables - Mtech GRAL;APP QVD DATAWAREHOUSE
APP;DWH Manquehue Intouch - API;APP QVD DATAWAREHOUSE
APP;DWH Planificación - Alimento Consumo - Mtech FMIN;APP QVD DATAWAREHOUSE
APP;DWH Planificacion - Asientos Contables - Mtech GRAL;APP QVD DATAWAREHOUSE
APP;DWH Planificacion - Pollito BB - Mtech BRIM;APP QVD DATAWAREHOUSE
APP;DWH Planificacion - Recepciones de Aves - EBS INV;APP QVD DATAWAREHOUSE
APP;DWH Planificacion - Recepciones Pollo Vivo FAE - Mtech BRIM;APP QVD DATAWAREHOUSE
APP;DWH Planificacion - Ventas Grupo Anglarill - EBS AR;APP QVD DATAWAREHOUSE
APP;DWH Reclamos - GMC (No Inc.);APP QVD DATAWAREHOUSE
APP;DWH Salta - Salta Ventas & Comunes - EBS AR;APP QVD DATAWAREHOUSE
APP;DWH Ventas MAS - EBS AR;APP QVD DATAWAREHOUSE
APP;DWH - Anexo Vehiculos - EBS;APP QVD DATAWAREHOUSE
APP;DWH - Asistencia - TR4 CC;APP QVD DATAWAREHOUSE
APP;DWH - Equipos de Frios - EBS Custom;APP QVD DATAWAREHOUSE
APP;DWH - Estado de Cuenta de Proveedor - EBS;APP QVD DATAWAREHOUSE
APP;DWH - Historial de Pagos Proveedores - EBS;APP QVD DATAWAREHOUSE
APP;DWH - Hoja Ruta - EBS EAM;APP QVD DATAWAREHOUSE
APP;DWH - Pagos Liberados Discoverer - EBS;APP QVD DATAWAREHOUSE
APP;DWH - Recepcion y Liquidacion de Cerdos - EBS INV;APP QVD DATAWAREHOUSE
APP;DWH - Rutas - Green Mile Comercial;APP QVD DATAWAREHOUSE
APP;DWH - Rutas - Green Mile Distribucion;APP QVD DATAWAREHOUSE
APP;DWH - Transacciones Discreta Mov. - EBS INV;APP QVD DATAWAREHOUSE
APP;DWH - Trazabilidad de Pagos - EBS;APP QVD DATAWAREHOUSE
APP;DWH - Tributos - Movimientos Contables - EBS GL - Precierre;APP QVD DATAWAREHOUSE
APP;DWH Activos Fijos - Lineas Origen - EBS Custom (No Inc.);APP QVD DATAWAREHOUSE
